####
#   1982 World Cup Venues   17 (in 14 cities)

name, city, cc

Estadio Municipal de Riazor, A Coruña, es
Estadio José Rico Pérez, Alicante, es
Sarria, Barcelona, es
Camp Nou, Barcelona, es
San Mames, Bilbao, es
Nuevo Estadio, Elche, es
El Molinon, Gijón, es
Vicente Calderon, Madrid, es
Santiago Bernabeu, Madrid, es
Estadio La Rosaleda, Málaga, es
Carlos Tartiere, Oviedo, es
Ramon Sanchez Pizjuan, Seville, es
Estadio Benito Villamarin, Seville, es
Luis Casanova, Valencia, es
Jose Zorrilla, Valladolid, es
Estadio Municipal de Balaídos, Vigo, es
La Romareda, Zaragoza, es
