####
#  1986 World Cup Venues   12 (in 10 cities)

name, city, cc

Neza, Ciudad Nezahualcóyotl, mx
Tres de Marzo, Guadalajara, mx
Estadio Jalisco, Guadalajara, mx
Estadio Sergio León Chávez, Irapuato, mx
Nou Camp, León, mx
Estadio Olímpico Universitario, Mexico City, mx
Estadio Azteca, Mexico City, mx
Tecnologico, Monterrey, mx
Estadio Cuauhtemoc, Puebla, mx
Estadio Universitario, San Nicolás de los Garza, mx
Estadio La Corregidora, Santiago de Querétaro, mx
Bombonera, Toluca, mx
