#####
#  2002 World Cup Venues   20 (in 20 cities)

Ibaraki Kashima Stadium, Kashima, jp
Kobe Wing Stadium, Kobe, jp
Niigata Stadium, Niigata, jp
Oita Stadium Big Eye, Oita, jp
Yanmar Stadium Nagai, Osaka, jp
Miyagi Stadium, Rifu, jp
Saitama Stadium, Saitama, jp
Sapporo Dome, Sapporo, jp
Shizuoka Stadium Ecopa, Shizuoka, jp
International Stadium Yokohama, Yokohama, jp
Busan Asiad Main Stadium, Busan, kr
Daegu World Cup Stadium, Daegu, kr
Daejeon World Cup Stadium, Daejeon, kr
Gwangju World Cup Stadium, Gwangju, kr
Incheon Munhak Stadium, Incheon, kr
Jeonju World Cup Stadium, Jeonju-si, kr
Jeju World Cup Stadium, Seogwipo-si, kr
Seoul World Cup Stadium, Seoul, kr
Suwon World Cup Stadium, Suwon-si, kr
Munsu Football Stadium, Ulsan, kr
