####
# 2006 World Cup Venues   12 (in 12 cities)

name,  city,  de

Olympiastadion,        Berlin, de
Rhein Energie Stadium, Cologne, de
Signal-Iduna-Park,     Dortmund, de
Commerzbank Arena,     Frankfurt, de
Arena AufSchalke,      Gelsenkirchen, de
Volksparkstadion,      Hamburg, de
HDI-Arena,             Hanover, de
Fritz-Walter-Stadion,  Kaiserslautern, de
Zentralstadion,        Leipzig, de
Allianz Arena,         Munich, de
Frankenstadion,        Nuremberg, de
Mercedes-Benz Arena,   Stuttgart, de
