#####
# 2010 Word Cup Venues   10 (in 9 cities)

name, city, cc

Cape Town Stadium,            Cape Town, za
Durban Stadium,               Durban, za
Port Elizabeth Stadium,       Gqeberha, za
Ellis Park Stadium,           Johannesburg, za
Soccer City Stadium,          Johannesburg, za
Free State Stadium,           Mangaung, za
Mbombela Stadium,             Mbombela, za
Royal Bafokeng Sports Palace, Phokeng, za
Peter Mokaba Stadium,         Polokwane, za
Loftus Versfeld Stadium,      Pretoria, za
